DayNum,Topics,TimeBlocks,DetailedTasks
1,Laravel Eloquent Advanced,08:00‑10:30 BE | 10:45‑12:45 FE | 14:00‑15:30 English | 16:00‑16:30 Review & notes,"BE 2–3h: implement 1 feature or refactor; 2 LeetCode (E/M); write unit tests; summarize learnings. | FE 2h: extend a React component/page; add tests; check a11y; document decisions. | English 1–1.5h: shadow 15‑20 min; mock interview Q&A; record & review. | Deep dive: Eloquent advanced (with, loadMissing), subquery select, scopes, when(); pros/cons; notes on N+1."
2,Pagination & Streaming,08:00‑10:30 BE | 10:45‑12:45 FE | 14:00‑15:30 English | 16:00‑16:30 Review & notes,BE 2–3h: implement 1 feature or refactor; 2 LeetCode (E/M); write unit tests; summarize learnings. | FE 2h: extend a React component/page; add tests; check a11y; document decisions. | English 1–1.5h: shadow 15‑20 min; mock interview Q&A; record & review. | General: revise yesterday’s notes; list 3 gaps; plan tomorrow’s spike.
3,MySQL Indexing & EXPLAIN,08:00‑10:30 BE | 10:45‑12:45 FE | 14:00‑15:30 English | 16:00‑16:30 Review & notes,"BE 2–3h: implement 1 feature or refactor; 2 LeetCode (E/M); write unit tests; summarize learnings. | FE 2h: extend a React component/page; add tests; check a11y; document decisions. | English 1–1.5h: shadow 15‑20 min; mock interview Q&A; record & review. | Deep dive: Eloquent advanced (with, loadMissing), subquery select, scopes, when(); pros/cons; notes on N+1."
4,Transactions & Deadlocks,08:00‑10:30 BE | 10:45‑12:45 FE | 14:00‑15:30 English | 16:00‑16:30 Review & notes,BE 2–3h: implement 1 feature or refactor; 2 LeetCode (E/M); write unit tests; summarize learnings. | FE 2h: extend a React component/page; add tests; check a11y; document decisions. | English 1–1.5h: shadow 15‑20 min; mock interview Q&A; record & review. | General: revise yesterday’s notes; list 3 gaps; plan tomorrow’s spike.
5,Caching & Redis,08:00‑10:30 BE | 10:45‑12:45 FE | 14:00‑15:30 English | 16:00‑16:30 Review & notes,"BE 2–3h: implement 1 feature or refactor; 2 LeetCode (E/M); write unit tests; summarize learnings. | FE 2h: extend a React component/page; add tests; check a11y; document decisions. | English 1–1.5h: shadow 15‑20 min; mock interview Q&A; record & review. | Queues/Cache: jobs, retries, backoff, RateLimiter; measure throughput; log timings and memory."
6,Queues & SQS,08:00‑10:30 BE | 10:45‑12:45 FE | 14:00‑15:30 English | 16:00‑16:30 Review & notes,"BE 2–3h: implement 1 feature or refactor; 2 LeetCode (E/M); write unit tests; summarize learnings. | FE 2h: extend a React component/page; add tests; check a11y; document decisions. | English 1–1.5h: shadow 15‑20 min; mock interview Q&A; record & review. | Queues/Cache: jobs, retries, backoff, RateLimiter; measure throughput; log timings and memory. | DevOps: containerize sample app; healthcheck; CI job; readme with run/deploy steps."
7,Security & Auth,08:00‑10:30 BE | 10:45‑12:45 FE | 14:00‑15:30 English | 16:00‑16:30 Review & notes,"BE 2–3h: implement 1 feature or refactor; 2 LeetCode (E/M); write unit tests; summarize learnings. | FE 2h: extend a React component/page; add tests; check a11y; document decisions. | English 1–1.5h: shadow 15‑20 min; mock interview Q&A; record & review. | API: build/secure an endpoint (auth, validation, rate limit), write integration tests."
8,System Design 1,08:00‑10:30 BE | 10:45‑12:45 FE | 14:00‑15:30 English | 16:00‑16:30 Review & notes,BE 2–3h: implement 1 feature or refactor; 2 LeetCode (E/M); write unit tests; summarize learnings. | FE 2h: extend a React component/page; add tests; check a11y; document decisions. | English 1–1.5h: shadow 15‑20 min; mock interview Q&A; record & review. | General: revise yesterday’s notes; list 3 gaps; plan tomorrow’s spike.
9,System Design 2,08:00‑10:30 BE | 10:45‑12:45 FE | 14:00‑15:30 English | 16:00‑16:30 Review & notes,BE 2–3h: implement 1 feature or refactor; 2 LeetCode (E/M); write unit tests; summarize learnings. | FE 2h: extend a React component/page; add tests; check a11y; document decisions. | English 1–1.5h: shadow 15‑20 min; mock interview Q&A; record & review. | General: revise yesterday’s notes; list 3 gaps; plan tomorrow’s spike.
10,Observability,08:00‑10:30 BE | 10:45‑12:45 FE | 14:00‑15:30 English | 16:00‑16:30 Review & notes,BE 2–3h: implement 1 feature or refactor; 2 LeetCode (E/M); write unit tests; summarize learnings. | FE 2h: extend a React component/page; add tests; check a11y; document decisions. | English 1–1.5h: shadow 15‑20 min; mock interview Q&A; record & review. | General: revise yesterday’s notes; list 3 gaps; plan tomorrow’s spike.
11,Performance Lab,08:00‑10:30 BE | 10:45‑12:45 FE | 14:00‑15:30 English | 16:00‑16:30 Review & notes,BE 2–3h: implement 1 feature or refactor; 2 LeetCode (E/M); write unit tests; summarize learnings. | FE 2h: extend a React component/page; add tests; check a11y; document decisions. | English 1–1.5h: shadow 15‑20 min; mock interview Q&A; record & review. | General: revise yesterday’s notes; list 3 gaps; plan tomorrow’s spike.
12,Integration,08:00‑10:30 BE | 10:45‑12:45 FE | 14:00‑15:30 English | 16:00‑16:30 Review & notes,BE 2–3h: implement 1 feature or refactor; 2 LeetCode (E/M); write unit tests; summarize learnings. | FE 2h: extend a React component/page; add tests; check a11y; document decisions. | English 1–1.5h: shadow 15‑20 min; mock interview Q&A; record & review. | Testing: write unit + integration tests; measure coverage; fix 1 flaky test.
13,Coding Test,08:00‑10:30 BE | 10:45‑12:45 FE | 14:00‑15:30 English | 16:00‑16:30 Review & notes,BE 2–3h: implement 1 feature or refactor; 2 LeetCode (E/M); write unit tests; summarize learnings. | FE 2h: extend a React component/page; add tests; check a11y; document decisions. | English 1–1.5h: shadow 15‑20 min; mock interview Q&A; record & review. | General: revise yesterday’s notes; list 3 gaps; plan tomorrow’s spike.
14,Full Review,08:00‑10:30 BE | 10:45‑12:45 FE | 14:00‑15:30 English | 16:00‑16:30 Review & notes,BE 2–3h: implement 1 feature or refactor; 2 LeetCode (E/M); write unit tests; summarize learnings. | FE 2h: extend a React component/page; add tests; check a11y; document decisions. | English 1–1.5h: shadow 15‑20 min; mock interview Q&A; record & review. | General: revise yesterday’s notes; list 3 gaps; plan tomorrow’s spike.
15,Rest & Polish,08:00‑10:30 BE | 10:45‑12:45 FE | 14:00‑15:30 English | 16:00‑16:30 Review & notes,"BE 2–3h: implement 1 feature or refactor; 2 LeetCode (E/M); write unit tests; summarize learnings. | FE 2h: extend a React component/page; add tests; check a11y; document decisions. | English 1–1.5h: shadow 15‑20 min; mock interview Q&A; record & review. | API: build/secure an endpoint (auth, validation, rate limit), write integration tests."
16,Strategy/Decorator/Adapter,08:00‑10:30 BE | 10:45‑12:45 FE | 14:00‑15:30 English | 16:00‑16:30 Review & notes,BE 2–3h: implement 1 feature or refactor; 2 LeetCode (E/M); write unit tests; summarize learnings. | FE 2h: extend a React component/page; add tests; check a11y; document decisions. | English 1–1.5h: shadow 15‑20 min; mock interview Q&A; record & review. | Design patterns: Strategy/Factory/Adapter/Decorator/Repository/CQRS; code snippet + trade‑offs + pitfalls.
17,Chain of Responsibility,08:00‑10:30 BE | 10:45‑12:45 FE | 14:00‑15:30 English | 16:00‑16:30 Review & notes,BE 2–3h: implement 1 feature or refactor; 2 LeetCode (E/M); write unit tests; summarize learnings. | FE 2h: extend a React component/page; add tests; check a11y; document decisions. | English 1–1.5h: shadow 15‑20 min; mock interview Q&A; record & review. | General: revise yesterday’s notes; list 3 gaps; plan tomorrow’s spike.
18,Circuit Breaker & Retry,08:00‑10:30 BE | 10:45‑12:45 FE | 14:00‑15:30 English | 16:00‑16:30 Review & notes,BE 2–3h: implement 1 feature or refactor; 2 LeetCode (E/M); write unit tests; summarize learnings. | FE 2h: extend a React component/page; add tests; check a11y; document decisions. | English 1–1.5h: shadow 15‑20 min; mock interview Q&A; record & review. | General: revise yesterday’s notes; list 3 gaps; plan tomorrow’s spike.
19,Outbox,08:00‑10:30 BE | 10:45‑12:45 FE | 14:00‑15:30 English | 16:00‑16:30 Review & notes,BE 2–3h: implement 1 feature or refactor; 2 LeetCode (E/M); write unit tests; summarize learnings. | FE 2h: extend a React component/page; add tests; check a11y; document decisions. | English 1–1.5h: shadow 15‑20 min; mock interview Q&A; record & review. | General: revise yesterday’s notes; list 3 gaps; plan tomorrow’s spike.
20,Saga/Orchestration,08:00‑10:30 BE | 10:45‑12:45 FE | 14:00‑15:30 English | 16:00‑16:30 Review & notes,BE 2–3h: implement 1 feature or refactor; 2 LeetCode (E/M); write unit tests; summarize learnings. | FE 2h: extend a React component/page; add tests; check a11y; document decisions. | English 1–1.5h: shadow 15‑20 min; mock interview Q&A; record & review. | General: revise yesterday’s notes; list 3 gaps; plan tomorrow’s spike.
21,CQRS,08:00‑10:30 BE | 10:45‑12:45 FE | 14:00‑15:30 English | 16:00‑16:30 Review & notes,BE 2–3h: implement 1 feature or refactor; 2 LeetCode (E/M); write unit tests; summarize learnings. | FE 2h: extend a React component/page; add tests; check a11y; document decisions. | English 1–1.5h: shadow 15‑20 min; mock interview Q&A; record & review. | Design patterns: Strategy/Factory/Adapter/Decorator/Repository/CQRS; code snippet + trade‑offs + pitfalls.
22,Hexagonal,08:00‑10:30 BE | 10:45‑12:45 FE | 14:00‑15:30 English | 16:00‑16:30 Review & notes,BE 2–3h: implement 1 feature or refactor; 2 LeetCode (E/M); write unit tests; summarize learnings. | FE 2h: extend a React component/page; add tests; check a11y; document decisions. | English 1–1.5h: shadow 15‑20 min; mock interview Q&A; record & review. | General: revise yesterday’s notes; list 3 gaps; plan tomorrow’s spike.
23,Repository + Specification,08:00‑10:30 BE | 10:45‑12:45 FE | 14:00‑15:30 English | 16:00‑16:30 Review & notes,BE 2–3h: implement 1 feature or refactor; 2 LeetCode (E/M); write unit tests; summarize learnings. | FE 2h: extend a React component/page; add tests; check a11y; document decisions. | English 1–1.5h: shadow 15‑20 min; mock interview Q&A; record & review. | Design patterns: Strategy/Factory/Adapter/Decorator/Repository/CQRS; code snippet + trade‑offs + pitfalls.
24,Security (OWASP),08:00‑10:30 BE | 10:45‑12:45 FE | 14:00‑15:30 English | 16:00‑16:30 Review & notes,BE 2–3h: implement 1 feature or refactor; 2 LeetCode (E/M); write unit tests; summarize learnings. | FE 2h: extend a React component/page; add tests; check a11y; document decisions. | English 1–1.5h: shadow 15‑20 min; mock interview Q&A; record & review. | General: revise yesterday’s notes; list 3 gaps; plan tomorrow’s spike.
25,Observability Deep Dive,08:00‑10:30 BE | 10:45‑12:45 FE | 14:00‑15:30 English | 16:00‑16:30 Review & notes,BE 2–3h: implement 1 feature or refactor; 2 LeetCode (E/M); write unit tests; summarize learnings. | FE 2h: extend a React component/page; add tests; check a11y; document decisions. | English 1–1.5h: shadow 15‑20 min; mock interview Q&A; record & review. | General: revise yesterday’s notes; list 3 gaps; plan tomorrow’s spike.
26,Performance Lab,08:00‑10:30 BE | 10:45‑12:45 FE | 14:00‑15:30 English | 16:00‑16:30 Review & notes,BE 2–3h: implement 1 feature or refactor; 2 LeetCode (E/M); write unit tests; summarize learnings. | FE 2h: extend a React component/page; add tests; check a11y; document decisions. | English 1–1.5h: shadow 15‑20 min; mock interview Q&A; record & review. | General: revise yesterday’s notes; list 3 gaps; plan tomorrow’s spike.
27,RSC & Streaming,08:00‑10:30 BE | 10:45‑12:45 FE | 14:00‑15:30 English | 16:00‑16:30 Review & notes,BE 2–3h: implement 1 feature or refactor; 2 LeetCode (E/M); write unit tests; summarize learnings. | FE 2h: extend a React component/page; add tests; check a11y; document decisions. | English 1–1.5h: shadow 15‑20 min; mock interview Q&A; record & review. | General: revise yesterday’s notes; list 3 gaps; plan tomorrow’s spike.
28,Testing Advanced,08:00‑10:30 BE | 10:45‑12:45 FE | 14:00‑15:30 English | 16:00‑16:30 Review & notes,BE 2–3h: implement 1 feature or refactor; 2 LeetCode (E/M); write unit tests; summarize learnings. | FE 2h: extend a React component/page; add tests; check a11y; document decisions. | English 1–1.5h: shadow 15‑20 min; mock interview Q&A; record & review. | Testing: write unit + integration tests; measure coverage; fix 1 flaky test.
29,Ops & Releases,08:00‑10:30 BE | 10:45‑12:45 FE | 14:00‑15:30 English | 16:00‑16:30 Review & notes,BE 2–3h: implement 1 feature or refactor; 2 LeetCode (E/M); write unit tests; summarize learnings. | FE 2h: extend a React component/page; add tests; check a11y; document decisions. | English 1–1.5h: shadow 15‑20 min; mock interview Q&A; record & review. | General: revise yesterday’s notes; list 3 gaps; plan tomorrow’s spike.
30,Capstone,08:00‑10:30 BE | 10:45‑12:45 FE | 14:00‑15:30 English | 16:00‑16:30 Review & notes,BE 2–3h: implement 1 feature or refactor; 2 LeetCode (E/M); write unit tests; summarize learnings. | FE 2h: extend a React component/page; add tests; check a11y; document decisions. | English 1–1.5h: shadow 15‑20 min; mock interview Q&A; record & review. | General: revise yesterday’s notes; list 3 gaps; plan tomorrow’s spike.
